"player_name","player_state","total_pts","pre_rating","average_pre_rating"
"GARY HUA","ON",6,1794,1442.80701754386
"DAKSHESH DARURI","MI",6,1553,1442.80701754386
"ADITYA BAJAJ","MI",6,1384,1442.80701754386
"PATRICK H SCHILLING","MI",5.5,1716,1442.80701754386
"HANSHI ZUO","MI",5.5,1655,1442.80701754386
"HANSEN SONG","OH",5,1686,1442.80701754386
"GARY DEE SWATHELL","MI",5,1649,1442.80701754386
"EZEKIEL HOUGHTON","MI",5,1641,1442.80701754386
"STEFANO LEE","ON",5,1411,1442.80701754386
"ANVIT RAO","MI",5,1365,1442.80701754386
"CAMERON WILLIAM MC LEMAN","MI",4.5,1712,1442.80701754386
"KENNETH J TACK","MI",4.5,1663,1442.80701754386
"TORRANCE HENRY JR","MI",4.5,1666,1442.80701754386
"BRADLEY SHAW","MI",4.5,1610,1442.80701754386
"ZACHARY JAMES HOUGHTON","MI",4.5,1220,1442.80701754386
"MIKE NIKITIN","MI",4,1604,1442.80701754386
"RONALD GRZEGORCZYK","MI",4,1629,1442.80701754386
"DAVID SUNDEEN","MI",4,1600,1442.80701754386
"DIPANKAR ROY","MI",4,1564,1442.80701754386
"JASON ZHENG","MI",4,1595,1442.80701754386
"DINH DANG BUI","ON",4,1563,1442.80701754386
"EUGENE L MCCLURE","MI",4,1555,1442.80701754386
"ALAN BUI","ON",4,1363,1442.80701754386
"MICHAEL R ALDRICH","MI",4,1229,1442.80701754386
"LOREN SCHWIEBERT","MI",3.5,1745,1442.80701754386
"MAX ZHU","ON",3.5,1579,1442.80701754386
"GAURAV GIDWANI","MI",3.5,1552,1442.80701754386
"SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1442.80701754386
"CHIEDOZIE OKORIE","MI",3.5,1602,1442.80701754386
"GEORGE AVERY JONES","ON",3.5,1522,1442.80701754386
"RISHI SHETTY","MI",3.5,1494,1442.80701754386
"JOSHUA PHILIP MATHEWS","ON",3.5,1441,1442.80701754386
"JADE GE","MI",3.5,1449,1442.80701754386
"MICHAEL JEFFERY THOMAS","MI",3.5,1399,1442.80701754386
"JOSHUA DAVID LEE","MI",3.5,1438,1442.80701754386
"SIDDHARTH JHA","MI",3.5,1355,1442.80701754386
"BRIAN LIU","MI",3,1423,1442.80701754386
"JOEL R HENDON","MI",3,1436,1442.80701754386
"FOREST ZHANG","MI",3,1348,1442.80701754386
"KYLE WILLIAM MURPHY","MI",3,1403,1442.80701754386
"JARED GE","MI",3,1332,1442.80701754386
"ROBERT GLEN VASEY","MI",3,1283,1442.80701754386
"JUSTIN D SCHILLING","MI",3,1199,1442.80701754386
"DEREK YAN","MI",3,1242,1442.80701754386
"ERIC WRIGHT","MI",2.5,1362,1442.80701754386
"DANIEL KHAIN","MI",2.5,1382,1442.80701754386
"MICHAEL J MARTIN","MI",2.5,1291,1442.80701754386
"SHIVAM JHA","MI",2.5,1056,1442.80701754386
"TEJAS AYYAGARI","MI",2.5,1011,1442.80701754386
"JOSE C YBARRA","MI",2,1393,1442.80701754386
"LARRY HODGE","MI",2,1270,1442.80701754386
"ALEX KONG","MI",2,1186,1442.80701754386
"MARISA RICCI","MI",2,1153,1442.80701754386
"MICHAEL LU","MI",2,1092,1442.80701754386
"ASHWIN BALAJI","MI",1,1530,1442.80701754386
"THOMAS JOSEPH HOSMER","MI",1,1175,1442.80701754386
"BEN LI","MI",1,1163,1442.80701754386
